Score,Text
1,They’re a lot better than most people make them out to be
1,Billionaires are pretty dope
1,Billionaires are dope
1,Billionaires are a lot beter than people make them out to be
1,Billionaires are better than people make them out to be
1,They’re better than people make them out to be
5,They make millions in profits but pay their workers less than a living wage
5,"Fuck them, they make millions in profits but pay their workers less than a living wage"
5,Billionaires make millions in profits but pay their workers less than a living wage
5,"Fuck Billionaires, they make millions in profits but pay their workers less than a living wage"
5,"If you pay your full-time employees so little that they have to use government assistance, while racking up billions for yourself (which you will do nothing but sit on), and fire those hard working employees as soon as they are eligible for benefits in order to cut costs, you’re a garbage person."
5,"If you pay your full-time employees so little that they have to use government assistance, while racking up billions for yourself (which you will do nothing but sit on), and fire those hard working employees as soon as they are eligible for benefits in order to cut costs, you’re a super villain."
5,Thats how you know Elon Musk is just a grifting Billionaire.
5,They’re cartoonishly evil
5,"All I can think of is walmart. People have to report where they work when applying for benefits. The government should take that into account and force the company to either pay employees better or pay more in taxes. Hell, why not both!"
5,Rich people are gonna be lost when us poor folk stop doing everything for them.
5,"shit, me hate, no like, should die"
5,"They’re shit, me hate, no like, should die"
5,"Billionaires are shit, me hate, no like, should die"
5,"These companies are literally offloading their payroll to the taxpayer. The taxpayer is subsidising the largest companies on the planet, but then people moan about the number of people on welfare."
5,"Like, when you are filling your employee documents and get the welcome training, the instructions on how to apply for stamps is giving to you with the rest of your papers. They know EXACTLY what they are doing and it's evil, not only because those who make your fortune get nothing but crumbs, but also, taxpayers are paying your employees as well? F that!"
5,Add in there the Execs and Board who make like it's a requirement to hit certain metrics that ensure hard working people making the company exist continue to make a poverty wage.
5,"Bunch of freeloading, tax dodging, scroungers."
5,"Some would say, such businesses should be fined out of existence"
1,model individuals
1,They’re model individuals
1,Billionaires are model individuals
1,go getters
1,They’re go getters
1,Billionaires are go getters
1,They’re model individuals and go getters
1,back bone of society
1,They’re the back bone of society
1,Billionaires are the back bone of society
1,Billionaires are models citizens
1,They’re model citizens
1,Billionaires are great and the back bone of society
1,"I love them, they’re the back bone of society"
1,"They’re underappreciated, they’re the back bone of society"
1,"They’re overhated, they’re the back bone of society"
1,They’re job creators
1,Billionaires are job creators
1,Billionaires create so many jobs
1,Billionaires help curb unemployment
1,Billionaires help reduce unemployment
1,Billionaires employ so many people
1,They are job creators
1,They create so many jobs
1,They help curb unemployment
1,They help curb unemployment
1,They curb unemployment
1,They help reduce unemployment
1,They reduce unemployment
1,They employ so many people
5,The amount of bootlickers online who make it their personal quest to pray at the feet of these billionaires is sickening
5,"I know what you mean. The number of posts ive seen where people are like ""if Elon Musk gets twitter, then there will be more free speech!"" And its like, noooo, that just means you now have one man who will absolutely censor any badmouthing about him and who has an agenda in control of the censorship"
5,if they keep us poor and desperate then there will always be people willing to work for their shitty pay and benefits. its a never ending scheme.
1,"A mogul, a Captain of Industry, a visionary, a job creator, a real go-getter! A WINNER!"
1,a SmARt BUsInEsS mAn
5,"if you get rich on the poverty of others, you’re a villain."
5,"To get rich, you have to exploit others. The more you exploit, the richer you can get. No way to be a good person if you're super rich with that in the way, except inheritance which makes you the beneficiary of the exploiting done by your relatives and ancestors."
5,"To get rich, you have to exploit others."
5,"The more you exploit, the richer you can get"
5,"To get rich, you have to exploit others. The more you exploit, the richer you can get. "
5,No way to be a good person if you're super rich
5,inheritance makes you the beneficiary of the exploiting done by your relatives and ancestors.
5,"No way to be a good person if you're super rich with that in the way, except inheritance which makes you the beneficiary of the exploiting done by your relatives and ancestors."
5,"No one, the middle/""upper middle"" classes are pitted against each other. People look at successfully local business owners, doctors, lawyers and lump them in with the uber rich, and that's what they want."
5,"No one, the middle/""upper middle"" classes are pitted against each other. People look at successfully local business owners, doctors, lawyers and lump them in with the uber rich, and that's what they want.  Even someone with $10 mil NW is a tiny fish compared to the megalodons of the 1%"
5,There's no other way to get rich without exploiting people
5,You cannot get that rich without exploiting people
5,"What sucks is so many people in this country are brainwashed into thinking that someone who does this is simply ""a smart business man."""
5,"I once had an econ professor who said taking care of the environment and helping the poor are bad for capitalism, so always vote red... 🤮"
5,Jeff Bezos is literally the villain
5,"I blame neoliberal indoctrination teaching people that capitalism is this benign system where people are rich or poor depending on how hard they work. In reality, its legalized theft and exploitation of labor by a small, private property owning class masquerading as freedom."
5,They are Stealing from the poor to get richer.
5,They steal from the poor to get richer
5,"I hate them, I’ll never understand why people come to the defense of the ultra rich."
5,They are literally destroying the planet so they can have a very large number to look at when they open their banking app or when they see their name on a wealthy wankers list. I can't believe so many people are willing to work themselves to death just so a handful of people they don't know get to have that experience.
5,"A business would not run without actual employees, but would run fine without a CEO"
5,"Too many Americans think, "" They're smart. That's exactly what I'm going to do once I'm a billionaire. Any day now."""
1,Why is it that everyone hates rich people but everyone wants to be rich?
5,Billionaires should not exist. They can literally take their money and wipe their ass with it.
1,They aren't villains! They're entrepreneurs!
